Area Code (FAO),Area,Year_Code,Year,Agriculture_CG,Total_Expenditure_CG
1,Armenia,1,2017,76.01,3117.36
1,Armenia,2,2018,53.74,2996.11
1,Armenia,3,2019,63.14,3391.52
1,Armenia,4,2020,61.32,3874.46
1,Armenia,5,2021,87.18,3978.61
1,Armenia,6,2022,134.42,5147.58
2,Afghanistan,7,2017,,9026.27
2,Afghanistan,8,2018,,5611.66
2,Afghanistan,9,2019,,5459.32
2,Afghanistan,10,2020,,5979.45
2,Afghanistan,11,2021,,5434.51
2,Afghanistan,12,2022,,2642.9
3,Albania,13,2017,60.28,2936.56
3,Albania,14,2018,74.81,3309.15
3,Albania,15,2019,55.54,3285.52
3,Albania,16,2020,82.56,3796.47
3,Albania,17,2021,112.75,4340.22
3,Albania,18,2022,116.29,4254.78
4,Algeria,19,2017,,60976.98
4,Algeria,20,2018,,72401.78
4,Algeria,21,2019,,71695.88
4,Algeria,22,2020,,61557.32
4,Algeria,23,2021,1661.84,60451.6
4,Algeria,24,2022,2404.66,60604.13
5,American Samoa,25,2017,,
5,American Samoa,26,2018,,
5,American Samoa,27,2019,,
5,American Samoa,28,2020,,
5,American Samoa,29,2021,,
5,American Samoa,30,2022,,
6,Andorra,31,2017,,
6,Andorra,32,2018,,
6,Andorra,33,2019,,
6,Andorra,34,2020,,
6,Andorra,35,2021,,
6,Andorra,36,2022,,
7,Angola,37,2017,111.26,36676.3
7,Angola,38,2018,106.55,35979.39
7,Angola,39,2019,212.7,28030.78
7,Angola,40,2020,98.2,23139.97
7,Angola,41,2021,149.68,22847.33
7,Angola,42,2022,267.89,33882.04
8,Antigua and Barbuda,43,2017,,345.34
8,Antigua and Barbuda,44,2018,,369.05
8,Antigua and Barbuda,45,2019,,341.75
8,Antigua and Barbuda,46,2020,,366.71
8,Antigua and Barbuda,47,2021,5.51,371.64
8,Antigua and Barbuda,48,2022,6.44,514.47
9,Argentina,49,2017,632.8,122115.36
9,Argentina,50,2018,309.87,87648.88
9,Argentina,51,2019,215.38,76474.58
9,Argentina,52,2020,290.08,76860.1
9,Argentina,53,2021,336.97,86683.23
9,Argentina,54,2022,481.09,104367.95
10,Australia,55,2017,2073.95,359815.36
10,Australia,56,2018,1929.15,365156.58
10,Australia,57,2019,2159.18,359436.67
10,Australia,58,2020,1509.89,418379.48
10,Australia,59,2021,2046.24,517439.49
10,Australia,60,2022,2021.97,453090.17
11,Austria,61,2017,,134748.47
11,Austria,62,2018,,143636.41
11,Austria,63,2019,,138413.1
11,Austria,64,2020,,163823.12
11,Austria,65,2021,,179691.18
11,Austria,66,2022,,
12,Bahamas,67,2017,,2646.63
12,Bahamas,68,2018,,2503.71
12,Bahamas,69,2019,28.11,2754.92
12,Bahamas,70,2020,26.84,3032.65
12,Bahamas,71,2021,25.51,3250.94
12,Bahamas,72,2022,29.45,3446.7
13,Bahrain,73,2017,,9406.6
13,Bahrain,74,2018,13.3,9761.52
13,Bahrain,75,2019,13.3,9537.39
13,Bahrain,76,2020,13.3,8901.6
13,Bahrain,77,2021,,9611.7
13,Bahrain,78,2022,,9492.02
14,Barbados,79,2017,,2123.77
14,Barbados,80,2018,70.23,1652.03
14,Barbados,81,2019,33.09,1333.09
14,Barbados,82,2020,35.9,1750.74
14,Barbados,83,2021,33.24,2000.85
14,Barbados,84,2022,,1878.26
16,Bangladesh,85,2017,,28450.65
16,Bangladesh,86,2018,,32739.36
16,Bangladesh,87,2019,,46356.86
16,Bangladesh,88,2020,,42488.4
16,Bangladesh,89,2021,,45216.03
16,Bangladesh,90,2022,,48299.94
17,Bermuda,91,2017,,
17,Bermuda,92,2018,,
17,Bermuda,93,2019,,
17,Bermuda,94,2020,,
17,Bermuda,95,2021,,
17,Bermuda,96,2022,,
18,Bhutan,97,2017,,809.44
18,Bhutan,98,2018,,823.68
18,Bhutan,99,2019,,624.76
18,Bhutan,100,2020,,802.18
18,Bhutan,101,2021,,961.49
18,Bhutan,102,2022,,989.68
19,Bolivia (Plurinational State of),103,2017,,7338.78
19,Bolivia (Plurinational State of),104,2018,,4850.22
19,Bolivia (Plurinational State of),105,2019,,
19,Bolivia (Plurinational State of),106,2020,,
19,Bolivia (Plurinational State of),107,2021,,
19,Bolivia (Plurinational State of),108,2022,,
20,Botswana,109,2017,,5643.24
20,Botswana,110,2018,,6112.82
20,Botswana,111,2019,,6080.42
20,Botswana,112,2020,154.15,5742.63
20,Botswana,113,2021,,6050.94
20,Botswana,114,2022,,6177.88
21,Brazil,115,2017,6303.61,742502.1
21,Brazil,116,2018,5275.11,676587.28
21,Brazil,117,2019,4964.77,649715.01
21,Brazil,118,2020,3468.61,564010.66
21,Brazil,119,2021,3731.41,525836.47
21,Brazil,120,2022,5449.52,651377.52
22,Aruba,121,2017,,
22,Aruba,122,2018,,
22,Aruba,123,2019,,
22,Aruba,124,2020,,
22,Aruba,125,2021,,
22,Aruba,126,2022,,
23,Belize,127,2017,,569.38
23,Belize,128,2018,,606.6
23,Belize,129,2019,,659.58
23,Belize,130,2020,,612.41
23,Belize,131,2021,,600.7
23,Belize,132,2022,,697.38
24,Chagos Archipelago,133,2017,,
24,Chagos Archipelago,134,2018,,
24,Chagos Archipelago,135,2019,,
24,Chagos Archipelago,136,2020,,
24,Chagos Archipelago,137,2021,,
24,Chagos Archipelago,138,2022,,
25,Solomon Islands,139,2017,,597.01
25,Solomon Islands,140,2018,,565.07
25,Solomon Islands,141,2019,,581.48
25,Solomon Islands,142,2020,,620.36
25,Solomon Islands,143,2021,7.04,388.93
25,Solomon Islands,144,2022,7.28,423.73
26,Brunei Darussalam,145,2017,24.65,4402.44
26,Brunei Darussalam,146,2018,21.57,4447.51
26,Brunei Darussalam,147,2019,20.72,4305.07
26,Brunei Darussalam,148,2020,22.1,3835.88
26,Brunei Darussalam,149,2021,23.65,4301.33
26,Brunei Darussalam,150,2022,,
27,Bulgaria,151,2017,,13771.19
27,Bulgaria,152,2018,,16619.52
27,Bulgaria,153,2019,,18278.5
27,Bulgaria,154,2020,,20154.73
27,Bulgaria,155,2021,,24771.13
27,Bulgaria,156,2022,,26756.39
28,Myanmar,157,2017,,
28,Myanmar,158,2018,,
28,Myanmar,159,2019,,
28,Myanmar,160,2020,,
28,Myanmar,161,2021,,
28,Myanmar,162,2022,,
29,Burundi,163,2017,20.39,662.36
29,Burundi,164,2018,22.41,736.14
29,Burundi,165,2019,24.33,820.61
29,Burundi,166,2020,,896.75
29,Burundi,167,2021,,858.61
29,Burundi,168,2022,,1108.76
32,Cameroon,169,2017,,6599.42
32,Cameroon,170,2018,,7062.79
32,Cameroon,171,2019,,7415.75
32,Cameroon,172,2020,230.25,7212.3
32,Cameroon,173,2021,298.14,9279.61
32,Cameroon,174,2022,,
33,Canada,175,2017,,238601.26
33,Canada,176,2018,,252769.62
33,Canada,177,2019,,263825.56
33,Canada,178,2020,,442784.79
33,Canada,179,2021,,368135.82
33,Canada,180,2022,,
35,Cabo Verde,181,2017,10.77,560.47
35,Cabo Verde,182,2018,15.47,600.95
35,Cabo Verde,183,2019,12.72,647.25
35,Cabo Verde,184,2020,11.71,678.74
35,Cabo Verde,185,2021,8.36,639.13
35,Cabo Verde,186,2022,14.86,594.87
36,Cayman Islands,187,2017,,
36,Cayman Islands,188,2018,,
36,Cayman Islands,189,2019,,
36,Cayman Islands,190,2020,,
36,Cayman Islands,191,2021,,
36,Cayman Islands,192,2022,,
37,Central African Republic,193,2017,10.48,253.83
37,Central African Republic,194,2018,17.62,366.22
37,Central African Republic,195,2019,16.44,330.1
37,Central African Republic,196,2020,17.64,504.55
37,Central African Republic,197,2021,28.33,523.71
37,Central African Republic,198,2022,,
38,Sri Lanka,199,2017,,16957.3
38,Sri Lanka,200,2018,,16709.36
38,Sri Lanka,201,2019,,16405.45
38,Sri Lanka,202,2020,,16385.33
38,Sri Lanka,203,2021,,17951.35
38,Sri Lanka,204,2022,,14416.15
39,Chad,205,2017,33.27,1121.4
39,Chad,206,2018,42.37,1205.27
39,Chad,207,2019,39.05,1298.41
39,Chad,208,2020,53.69,1271.1
39,Chad,209,2021,,1800.36
39,Chad,210,2022,,
40,Chile,211,2017,918.94,65723.08
40,Chile,212,2018,892.38,70460.5
40,Chile,213,2019,864.92,68505.88
40,Chile,214,2020,747.24,69119.66
40,Chile,215,2021,946.22,100638.07
40,Chile,216,2022,1002.7,75220.18
41,"China, mainland",217,2017,,1453438.9
41,"China, mainland",218,2018,,1607559.07
41,"China, mainland",219,2019,,1641108.8
41,"China, mainland",220,2020,,1763796.35
41,"China, mainland",221,2021,,1879130.3
41,"China, mainland",222,2022,,
42,Christmas Island,223,2017,,
42,Christmas Island,224,2018,,
42,Christmas Island,225,2019,,
42,Christmas Island,226,2020,,
42,Christmas Island,227,2021,,
42,Christmas Island,228,2022,,
43,Cocos (Keeling) Islands,229,2017,,
43,Cocos (Keeling) Islands,230,2018,,
43,Cocos (Keeling) Islands,231,2019,,
43,Cocos (Keeling) Islands,232,2020,,
43,Cocos (Keeling) Islands,233,2021,,
43,Cocos (Keeling) Islands,234,2022,,
44,Colombia,235,2017,,43156.18
44,Colombia,236,2018,,
44,Colombia,237,2019,,
44,Colombia,238,2020,,
44,Colombia,239,2021,,
44,Colombia,240,2022,,
45,Comoros,241,2017,,178.56
45,Comoros,242,2018,,225.9
45,Comoros,243,2019,,239.76
45,Comoros,244,2020,,228.52
45,Comoros,245,2021,,276.11
45,Comoros,246,2022,,265.18
46,Congo,247,2017,,2604.48
46,Congo,248,2018,,2769.32
46,Congo,249,2019,,
46,Congo,250,2020,,
