Area Code (FAO),Area,Year,Agriculture_CG,Total_Expenditure_CG,Incidence of malnutrition,GDP_Per_Capita_PPP,Children_Under_5_Wasting_Percent,GDP(mean),Income Level
3,Albania,2017,60.28,2936.56,4.2,12771.0,1.6,13502.28,3.0
3,Albania,2018,74.81,3309.15,4.1,13317.1,1.6,13502.28,3.0
3,Albania,2019,55.54,3285.52,4.1,13653.2,1.6,13502.28,3.0
3,Albania,2020,82.56,3796.47,4.1,13253.8,1.6,13502.28,3.0
3,Albania,2021,112.75,4340.22,4.1,14516.3,1.6,13502.28,3.0
3,Albania,2022,116.29,4254.78,4.12,13502.28,1.6,13502.28,3.0
4,Algeria,2017,709.83,60976.98,2.6,11809.5,2.7,11409.46,3.0
4,Algeria,2018,709.83,72401.78,2.6,11725.9,2.7,11409.46,3.0
4,Algeria,2019,709.83,71695.88,2.6,11627.3,2.7,11409.46,3.0
4,Algeria,2020,709.83,61557.32,2.6,10844.8,2.7,11409.46,3.0
4,Algeria,2021,709.83,60451.6,2.6,11039.8,2.7,11409.46,3.0
4,Algeria,2022,709.83,60604.13,2.6,11409.46,2.7,11409.46,3.0
9,Argentina,2017,632.8,122115.36,3.3,23597.1,1.7,21925.68,4.0
9,Argentina,2018,309.87,87648.88,3.4,22747.2,1.7,21925.68,4.0
9,Argentina,2019,215.38,76474.58,3.4,22071.7,1.7,21925.68,4.0
9,Argentina,2020,290.08,76860.1,3.3,19685.2,1.7,21925.68,4.0
9,Argentina,2021,336.97,86683.23,3.2,21527.2,1.7,21925.68,4.0
9,Argentina,2022,481.09,104367.95,3.32,21925.68,1.7,21925.68,4.0
21,Brazil,2017,709.83,138413.1,4.2,14477.9,3.1,14479.4,4.0
21,Brazil,2018,709.83,138413.1,4.2,14619.6,3.1,14479.4,4.0
21,Brazil,2019,709.83,138413.1,4.2,14685.1,3.1,14479.4,4.0
21,Brazil,2020,709.83,138413.1,3.7,14022.0,3.1,14479.4,4.0
21,Brazil,2021,709.83,138413.1,4.7,14592.4,3.1,14479.4,4.0
21,Brazil,2022,709.83,138413.1,4.2,14479.4,3.1,14479.4,4.0
32,Cameroon,2017,264.2,6599.42,5.6,3691.1,4.3,3709.22,2.0
32,Cameroon,2018,264.2,7062.79,5.9,3732.5,4.3,3709.22,2.0
32,Cameroon,2019,264.2,7415.75,5.8,3756.5,4.3,3709.22,2.0
32,Cameroon,2020,230.25,7212.3,5.6,3665.5,4.3,3709.22,2.0
32,Cameroon,2021,298.14,9279.61,6.4,3700.5,4.3,3709.22,2.0
32,Cameroon,2022,264.2,7513.97,5.86,3709.22,4.3,3709.22,2.0
37,Central African Republic,2017,10.48,253.83,39.1,839.6,5.77,848.26,1.0
37,Central African Republic,2018,17.62,366.22,39.1,854.6,6.5,848.26,1.0
37,Central African Republic,2019,16.44,330.1,39.1,861.8,5.4,848.26,1.0
37,Central African Republic,2020,17.64,504.55,39.1,847.8,5.77,848.26,1.0
37,Central African Republic,2021,28.33,523.71,39.1,837.5,5.77,848.26,1.0
37,Central African Republic,2022,18.1,395.68,39.1,848.26,5.4,848.26,1.0
39,Chad,2017,33.27,1121.4,26.0,1579.8,13.5,1524.0,2.0
39,Chad,2018,42.37,1205.27,26.8,1563.5,13.6,1524.0,2.0
39,Chad,2019,39.05,1298.41,28.1,1562.0,13.6,1524.0,2.0
39,Chad,2020,53.69,1271.1,29.8,1489.2,9.5,1524.0,2.0
39,Chad,2021,42.1,1800.36,31.4,1425.5,10.2,1524.0,2.0
39,Chad,2022,42.1,1339.31,28.42,1524.0,8.3,1524.0,2.0
53,Benin,2017,94.3,2324.54,9.5,2933.8,5.0,3127.7,2.0
53,Benin,2018,92.01,2370.0,10.4,3040.2,5.0,3127.7,2.0
53,Benin,2019,93.16,2083.87,10.6,3156.4,5.0,3127.7,2.0
53,Benin,2020,93.16,2892.79,10.2,3186.5,5.0,3127.7,2.0
53,Benin,2021,93.16,3412.88,9.9,3321.6,5.0,3127.7,2.0
53,Benin,2022,93.16,3594.21,10.12,3127.7,5.0,3127.7,2.0
56,Dominican Republic,2017,371.84,15794.18,6.0,16524.5,2.2,17514.84,4.0
56,Dominican Republic,2018,353.17,16188.07,5.7,17484.1,2.2,17514.84,4.0
56,Dominican Republic,2019,467.7,18150.96,6.3,18171.1,2.2,17514.84,4.0
56,Dominican Republic,2020,425.34,20152.18,6.3,16768.4,2.2,17514.84,4.0
56,Dominican Republic,2021,577.14,19827.11,6.3,18626.1,2.2,17514.84,4.0
56,Dominican Republic,2022,709.83,21225.17,6.12,17514.84,2.2,17514.84,4.0
58,Ecuador,2017,248.78,24368.38,10.8,11679.4,3.7,11140.76,3.0
58,Ecuador,2018,171.21,24053.41,11.9,11608.4,3.7,11140.76,3.0
58,Ecuador,2019,143.41,29899.58,13.4,11390.2,3.7,11140.76,3.0
58,Ecuador,2020,180.02,26866.97,14.1,10357.0,3.7,11140.76,3.0
58,Ecuador,2021,161.08,26130.27,13.9,10668.8,3.7,11140.76,3.0
58,Ecuador,2022,180.9,30070.52,12.82,11140.76,3.7,11140.76,3.0
66,Fiji,2017,18.09,586.34,8.4,12822.0,4.6,12140.14,3.0
